strategy,age_group,priority
oldest,0 to 4,99
oldest,5 to 17,6
oldest,18 to 29,5
oldest,30 to 44,4
oldest,45 to 59,3
oldest,60 to 69,2
oldest,70 to 100,1
youngest,0 to 4,99
youngest,5 to 17,1
youngest,18 to 29,2
youngest,30 to 44,3
youngest,45 to 59,4
youngest,60 to 69,5
youngest,70 to 100,6
uniform,0 to 4,99
uniform,5 to 17,1
uniform,18 to 29,1
uniform,30 to 44,1
uniform,45 to 59,1
uniform,60 to 69,1
uniform,70 to 100,1
uniform_transmit,0 to 4,99
uniform_transmit,5 to 17,1
uniform_transmit,18 to 29,1
uniform_transmit,30 to 44,1
uniform_transmit,45 to 59,2
uniform_transmit,60 to 69,2
uniform_transmit,70 to 100,3
uniform_no_children,0 to 4,99
uniform_no_children,5 to 17,99
uniform_no_children,18 to 29,1
uniform_no_children,30 to 44,1
uniform_no_children,45 to 59,1
uniform_no_children,60 to 69,1
uniform_no_children,70 to 100,1
SLE_plan,0 to 4,99
SLE_plan,5 to 17,99
SLE_plan,18 to 29,4
SLE_plan,30 to 44,3
SLE_plan,45 to 59,3
SLE_plan,60 to 69,2
SLE_plan,70 to 100,1
PNG_plan,0 to 4,99
PNG_plan,5 to 17,99
PNG_plan,18 to 29,2
PNG_plan,30 to 44,2
PNG_plan,45 to 59,1
PNG_plan,60 to 69,1
PNG_plan,70 to 100,1
adults_then_children,0 to 4,99
adults_then_children,5 to 17,2
adults_then_children,18 to 29,1
adults_then_children,30 to 44,1
adults_then_children,45 to 59,1
adults_then_children,60 to 69,1
adults_then_children,70 to 100,1
